71,"Holy (feat. Chance The Rapper)","Justin Bieber",1106406,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
72,"My Head & My Heart","Ava Max",1102800,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
73,"Ropa Cara",Camilo,1099647,https://open.spotify.com/track/7BIy3EGQhg98CsRdKYHnJC
74,"Lucid Dreams","Juice WRLD",1097403,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
75,SugarCrash!,ElyOtto,1085884,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
76,HOLIDAY,"Lil Nas X",1078780,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
77,"The Hills","The Weeknd",1075712,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
78,Golden,"Harry Styles",1072775,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
79,"Chica Ideal","Sebastian Yatra",1071487,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
80,"At My Worst","Pink Sweat$",1060584,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
81,goosebumps,"Travis Scott",1060255,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
82,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1056650,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
83,Shallow,"Lady Gaga",1056167,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
84,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,1052921,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
85,"Mi Niña",Wisin,1047376,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
86,Snowman,Sia,1042849,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
87,Señorita,"Shawn Mendes",1035777,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
88,"Love Story (Taylor’s Version)","Taylor Swift",1034364,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
89,"Breaking Me",Topic,1033185,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
90,"Adore You","Harry Styles",1028151,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
91,"The Box","Roddy Ricch",1023644,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
92,"Hasta Abajo","Kevin Roldan",1022781,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
93,BEBÉ,Camilo,1020475,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
94,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1014668,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
95,"Life Goes On",BTS,1008211,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
96,Memories,"Maroon 5",1007975,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
97,Believer,"Imagine Dragons",993463,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
98,"One More Time","Daft Punk",992064,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV
99,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",985181,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
100,"I Feel It Coming","The Weeknd",984049,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
101,"bad guy","Billie Eilish",983556,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
102,"In Your Eyes","The Weeknd",973925,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
103,Starboy,"The Weeknd",970884,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
104,"Say You Won't Let Go","James Arthur",966768,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
105,"Wishing Well","Juice WRLD",963827,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
106,"Blueberry Faygo","Lil Mosey",959858,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
107,"Daddy Issues","The Neighbourhood",947852,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
108,Fiel,"Los Legendarios",947118,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
109,"HIGHEST IN THE ROOM","Travis Scott",944409,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
110,Perfect,"Ed Sheeran",941254,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
111,"Shape of You","Ed Sheeran",939550,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
112,Dior,"Pop Smoke",934995,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
113,"Take Me To Church",Hozier,930323,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
114,"Take You Dancing","Jason Derulo",927112,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
115,"Life Is Good (feat. Drake)",Future,921153,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
116,"La Tóxica",Farruko,916337,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
117,Polvo,"Nicky Jam",911887,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
118,"Una Locura",Ozuna,910835,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
119,"Train Wreck","James Arthur",909066,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
120,"Jocelyn Flores",XXXTENTACION,908490,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
121,"Why'd You Only Call Me When You're High?","Arctic Monkeys",899040,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
122,Robbery,"Juice WRLD",897799,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
123,"Vida de Rico",Camilo,897282,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
124,911,Sech,885256,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
125,"Do I Wanna Know?","Arctic Monkeys",882949,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
126,"Break My Heart","Dua Lipa",882164,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
127,"Put Your Records On","Ritt Momney",881105,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
128,"7 rings","Ariana Grande",880696,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
129,"Parce (feat. Justin Quiles)",Maluma,873877,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
130,Falling,"Trevor Daniel",867063,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
131,"Dreams - 2004 Remaster","Fleetwood Mac",866064,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
132,Hayloft,"Mother Mother",863743,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
133,"All of Me","John Legend",863146,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
134,"If the World Was Ending - feat. Julia Michaels","JP Saxe",862840,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
135,"All We Got (feat. KIDDO)","Robin Schulz",861856,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
136,"Come & Go (with Marshmello)","Juice WRLD",861543,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
137,"All Girls Are The Same","Juice WRLD",860453,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
138,"Bohemian Rhapsody - Remastered 2011",Queen,860235,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
139,"Stuck with U (with Justin Bieber)","Ariana Grande",857619,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
140,"my ex's best friend (with blackbear)","Machine Gun Kelly",853510,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
141,"La Curiosidad","Jay Wheeler",853417,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
142,"Se Te Nota (with Guaynaa)","Lele Pons",850233,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
143,"Ride It",Regard,848826,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
144,"Martin & Gina","Polo G",844378,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
145,"SICKO MODE","Travis Scott",840225,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
146,"Rain On Me (with Ariana Grande)","Lady Gaga",825374,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
147,Falling,"Harry Styles",824978,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
148,SAD!,XXXTENTACION,819895,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
149,"Godzilla (feat. Juice WRLD)",Eminem,816308,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
150,"Love Not War (The Tampa Beat)","Jason Derulo",815175,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
151,Antes,"Anuel AA",811557,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
152,Yellow,Coldplay,811032,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
153,"Tapão Na Raba","Raí Saia Rodada",810114,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
154,"POPSTAR (feat. Drake)","DJ Khaled",807982,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
155,Tusa,"KAROL G",807873,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
156,Madonna,Bausa,804241,https://open.spotify.com/track/0DAQryfUiFZdWFo76RYBc8
157,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,803247,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
158,"Ponte Pa' Mi","Justin Quiles",802057,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
159,"Esquema Preferido","DJ Ivis",801086,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
160,Wonder,"Shawn Mendes",795813,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
161,"SO DONE","The Kid LAROI",792012,https://open.spotify.com/track/2gqWRRCXnma9L8xQ1RdemQ
162,"Mood Swings (feat. Lil Tjay)","Pop Smoke",789754,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
163,"Every Breath You Take","The Police",788146,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
164,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",781014,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
165,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande",777698,https://open.spotify.com/track/2sQH02O2HBCPJCztBrCWNa
166,"Somebody That I Used To Know",Gotye,773532,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
167,"Just the Way You Are","Bruno Mars",773442,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
168,"Smells Like Teen Spirit",Nirvana,771910,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
169,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",768693,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
170,"Instant Crush (feat. Julian Casablancas)","Daft Punk",767626,https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6
171,Closer,"The Chainsmokers",765136,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
172,"Tyler Herro","Jack Harlow",761851,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
173,"Star Shopping","Lil Peep",757311,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
174,"BOOKER T","Bad Bunny",754207,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
175,"Stressed Out","Twenty One Pilots",754181,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
176,"Counting Stars",OneRepublic,750769,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
177,"How You Like That",BLACKPINK,749302,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
178,Jeans,"Justin Quiles",747995,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
179,Maniac,"Conan Gray",746717,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
180,"Remember That Night?","Sara Kays",745716,https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7
181,Skin,"Sabrina Carpenter",745334,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07
182,"In the End","Linkin Park",744030,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
183,"hot girl bummer",blackbear,743265,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
184,"Fan de Tus Fotos","Nicky Jam",741012,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
185,"everything i wanted","Billie Eilish",740529,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
186,"Without Me",Halsey,736279,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
187,Riptide,"Vance Joy",735014,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
188,"Electric Love",BØRNS,732889,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
189,Photograph,"Ed Sheeran",732486,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
190,"Intentions (feat. Quavo)","Justin Bieber",730197,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
191,"Mr. Brightside","The Killers",730135,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
192,"The Less I Know The Better","Tame Impala",729859,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
193,"Someone To You",BANNERS,729643,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
194,ROXANNE,"Arizona Zervas",728902,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
195,"I Don't Care (with Justin Bieber)","Ed Sheeran",728071,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
196,"Say So","Doja Cat",727830,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
197,"Something Just Like This","The Chainsmokers",727585,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
198,Hope,XXXTENTACION,725698,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
199,"Lifestyle (feat. Adam Levine)","Jason Derulo",725465,https://open.spotify.com/track/0osvOdeD3YXZiWkT8MKolJ
200,"rockstar (feat. 21 Savage)","Post Malone",725351,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
